org_id,total_mentions,avg_prominence,sum_prominence,prominence_rate,unique_policy_areas,most_common_policy,CATEGORY,LOCATION,FOUNDED,MSHIP_STATUS11,LOBBYING11,ABBREVCAT
2104,4,1.0,4,1.0,1,300.0,(1403) Latinos,DC,1973,(5) Mixed,0.0,(8) Identity groups
2109,2,0.5,1,0.5,0,,(302) Association of public employees,DC,1992,(2) Association of individuals,70.5529995,(3) Occupational associations
2110,30,0.4666666666666667,14,0.4666666666666667,3,2000.0,(1901) Social welfare or poor,DC,1983,(5) Mixed,0.0,(13) Social welfare or poor
2111,25,0.04,1,0.04,2,400.0,(204) Trade associations,DC,1939,(3) Association of institutions,1398.7319946,(2) Trade and other business associations
2115,6,0.8333333333333334,5,0.8333333333333334,4,100.0,(204) Trade associations,DC,1955,(3) Association of institutions,624.0,(2) Trade and other business associations
2117,46,0.5869565217391305,27,0.5869565217391305,2,1300.0,(804) Consortium of governments,DC,1968,(4) Government or association of governments,35.0,(14) State and local governments
2120,7,0.8571428571428571,6,0.8571428571428571,0,,(303) Professional association,DC,1937,(2) Association of individuals,167.0,(3) Occupational associations
2122,6,0.16666666666666666,1,0.16666666666666666,0,,(606) Other educational,DC,1969,(5) Mixed,0.0,(5) Education
2125,23,0.4782608695652174,11,0.4782608695652174,2,700.0,(702) Other health,DC,1982,(3) Association of institutions,1090.0,(6) Health
2130,1048,0.4217557251908397,442,0.4217557251908397,12,100.0,(1402) African-Americans,DC,1909,(2) Association of individuals,400.0,(8) Identity groups
2131,6,0.6666666666666666,4,0.6666666666666666,0,,(303) Professional association,DC,1926,(2) Association of individuals,160.0,(3) Occupational associations
2133,5,0.2,1,0.2,2,1600.0,(306) Association of Public Employees - Military,DC,1968,(2) Association of individuals,196.75199886,(3) Occupational associations
2134,2,0.0,0,0.0,0,,(204) Trade associations,DC,1988,(3) Association of institutions,90.0,(2) Trade and other business associations
2137,1,0.0,0,0.0,1,1200.0,(302) Association of public employees,DC,1994,(2) Association of individuals,140.0,(3) Occupational associations
2138,14,0.7857142857142857,11,0.7857142857142857,3,1600.0,(302) Association of public employees,DC,1906,(2) Association of individuals,0.0,(3) Occupational associations
2140,1,0.0,0,0.0,0,,(303) Professional association,DC,1938,(2) Association of individuals,0.0,(3) Occupational associations
2141,1,0.0,0,0.0,0,,(303) Professional association,DC,1969,(2) Association of individuals,0.0,(3) Occupational associations
2147,20,0.3,6,0.3,2,100.0,(204) Trade associations,DC,1922,(3) Association of institutions,27670.0,(2) Trade and other business associations
2149,32,0.4375,14,0.4375,0,,(204) Trade associations,DC,1933,(3) Association of institutions,3710.0,(2) Trade and other business associations
2150,12,0.4166666666666667,5,0.4166666666666667,5,100.0,(204) Trade associations,DC,1971,(3) Association of institutions,210.0,(2) Trade and other business associations
2153,1,0.0,0,0.0,0,,(305) Association of administrators and managers of nonprofits,DC,1950,(2) Association of individuals,193.99800113,(3) Occupational associations
2156,81,0.18518518518518517,15,0.18518518518518517,4,100.0,(702) Other health,DC,1970,(3) Association of institutions,1680.0,(6) Health
2158,12,0.4166666666666667,5,0.4166666666666667,1,400.0,(804) Consortium of governments,DC,1947,(4) Government or association of governments,0.0,(14) State and local governments
2160,8,0.25,2,0.25,2,100.0,(204) Trade associations,DC,1961,(3) Association of institutions,6136.0,(2) Trade and other business associations
2161,10,0.8,8,0.8,3,300.0,"(301) Association of business professionals, managers, executives, and administrators",DC,1977,(2) Association of individuals,0.0,(3) Occupational associations
2162,96,0.625,60,0.625,6,100.0,(804) Consortium of governments,DC,1935,(4) Government or association of governments,0.0,(14) State and local governments
2165,18,0.2777777777777778,5,0.2777777777777778,2,300.0,(302) Association of public employees,DC,1965,(2) Association of individuals,0.0,(3) Occupational associations
2168,29,0.3793103448275862,11,0.3793103448275862,1,100.0,(302) Association of public employees,DC,1956,(2) Association of individuals,0.0,(3) Occupational associations
2173,1,0.0,0,0.0,0,,(302) Association of public employees,DC,1964,(2) Association of individuals,0.0,(3) Occupational associations
