term,estimate,std_error,z_value,p_value,odds_ratio,ci_lower,ci_upper,model
level1_bills_sponsored,0.025401591020421985,0.0028422599106918234,8.937110545333303,3.9947868109207413e-19,1.0257269605600294,0.01983086396076398,0.03097231808007999,Model B2 (Full)
Intercept,-0.6477721381991552,0.009454086539494934,-68.51768655734784,0.0,0.523210119120699,-0.6663018073232903,-0.6292424690750202,Empty Model C
Intercept,-0.8010130662213548,0.02690235162045729,-29.77483446511205,8.274096215734603e-195,0.44887399461742544,-0.8537407064968838,-0.7482854259458258,Model C1 (Org Chars)
level1_YEARS_EXISTED,-0.003288910843194829,0.0002920175850611731,-11.262715026240128,2.0048514919990034e-29,0.9967164916996223,-0.00386125479276709,-0.002716566893622568,Model C1 (Org Chars)
level1_OUTSIDE11,0.11186421298762213,0.021848339416227984,5.1200327336792615,3.054826275377419e-07,1.1183609914365584,0.06904225460980841,0.15468617136543583,Model C1 (Org Chars)
unique_issue_areas,0.08608888450199972,0.0029327186127840067,29.354635022511154,2.0852420892023813e-189,1.0899031995030066,0.0803408616441528,0.09183690735984665,Model C1 (Org Chars)
Intercept,-0.7483982296841015,0.06728959183671515,-11.122050368505189,9.799365401809211e-29,0.47312378175499714,-0.8802834062184637,-0.6165130531497394,Model C2 (Full)
"C(level1_chamber_x, Treatment('House of Representatives'))[T.Senate]",0.46734349783356505,0.03389742225258868,13.786992248293302,3.0522255490818743e-43,1.595749445763465,0.4009057710497446,0.5337812246173854,Model C2 (Full)
"C(level1_partyHistory, Treatment('Democrat'))[T.Independent]",0.27011093776750195,0.1666819188793146,1.620517327755716,0.10512119517956993,1.3101097833262063,-0.05657962010998158,0.5968014956449854,Model C2 (Full)
"C(level1_partyHistory, Treatment('Democrat'))[T.Republican]",0.25050930834549284,0.03443504605308413,7.27483587387438,3.4684188007684563e-13,1.2846795481114421,0.1830178582754698,0.3180007584155159,Model C2 (Full)
"C(level1_MSHIP_STATUS11, Treatment('Association of Institutions'))[T.Association of Individuals]",0.2922105294687965,0.0467844725747469,6.245887008813358,4.214017364632877e-10,1.339384967964646,0.20051464818659068,0.3839064107510023,Model C2 (Full)
"C(level1_MSHIP_STATUS11, Treatment('Association of Institutions'))[T.Other]",0.21168007154044444,0.08100219032453106,2.6132635511750886,0.008968211526654639,1.2357524694455773,0.05291869583550474,0.37044144724538414,Model C2 (Full)
